#####################################################################
# Alchemist log file - simulation started at: 2019-02-25T20:04+0000 #
#####################################################################
# seed = 45.0
#
# The columns have the following meaning: 
# time distance-rep[Mean] distance-rep[Max] leader-rep[CountDistinct] distance-share[Mean] distance-share[Max] leader-share[CountDistinct] 
302.00057988196096 0.010957144766063626 4.090492604076587 19.0 0.0 0.0 20.0 
303.00086182263703 0.021389499452813 5.216177343374682 18.0 0.0 0.0 20.0 
304.0004066643589 0.02909954311757992 5.243101611338659 18.0 0.0 0.0 19.0 
305.0009026305457 0.043509496471186154 11.295469280879757 18.0 0.0 0.0 19.0 
306.0030747039996 0.043509496471186154 11.295469280879757 19.0 0.0 0.0 19.0 
307.0036405741793 0.026034054178351154 7.773925477837025 19.0 0.0 0.0 20.0 
308.00025150812615 0.010287611932161395 5.14380596608072 19.0 0.0 0.0 20.0 
309.0051402763981 0.0 0.0 19.0 0.0 0.0 20.0 
310.001596547654 0.0 0.0 19.0 0.0 0.0 20.0 
311.0030747039996 0.003646029018135558 1.8230145090677752 19.0 0.0 0.0 20.0 
312.00139337800584 0.0 0.0 19.0 0.0 0.0 20.0 
313.00044982400544 0.0 0.0 19.0 0.0 0.0 20.0 
314.0012033793589 0.0 0.0 18.0 0.0 0.0 20.0 
315.00024682763905 0.015409321599694653 7.704660799847289 18.0 0.0 0.0 20.0 
316.00011761298697 0.0 0.0 18.0 0.0 0.0 20.0 
317.0019626581616 0.0035267282015539227 1.763364100776954 18.0 0.0 0.0 20.0 
318.00268004822294 0.0035267282015539227 1.763364100776954 18.0 0.0 0.0 20.0 
319.0012178972613 0.0 0.0 19.0 0.0 0.0 20.0 
320.0025166625447 0.0 0.0 19.0 0.0 0.0 20.0 
321.0010935531186 0.0 0.0 19.0 0.0 0.0 20.0 
322.0009830113954 0.0 0.0 19.0 0.0 0.0 20.0 
323.0008100545739 0.0 0.0 19.0 0.0 0.0 20.0 
324.00240360737183 0.0 0.0 19.0 0.0 0.0 20.0 
325.00219896154726 0.003755403617745169 1.8777018088725868 19.0 0.0 0.0 21.0 
326.00046643282843 0.0 0.0 19.0 0.0 0.0 20.0 
327.0004081076845 0.017116307830696117 8.558153915348015 19.0 0.0 0.0 20.0 
328.00286819606555 0.0 0.0 19.0 0.0 0.0 20.0 
329.00143723355177 0.0 0.0 19.0 0.0 0.0 20.0 
330.00148823467106 0.0 0.0 19.0 0.0 0.0 20.0 
331.00071707795524 0.0 0.0 19.0 0.0 0.0 20.0 
332.0036405741793 0.0 0.0 19.0 0.0 0.0 20.0 
333.0011311206837 0.01343806250862631 6.719031254313137 19.0 0.0 0.0 20.0 
334.0002678234694 0.01343806250862631 6.719031254313137 19.0 0.0 0.0 20.0 
335.0002404705507 0.01343806250862631 6.719031254313137 19.0 0.0 0.0 20.0 
336.00034822773756 0.01343806250862631 6.719031254313137 18.0 0.0 0.0 20.0 
337.0004454200806 0.0 0.0 19.0 0.0 0.0 19.0 
338.00302696867664 0.0 0.0 19.0 0.0 0.0 19.0 
339.0005631327022 0.0 0.0 19.0 0.0 0.0 19.0 
340.0017569563637 0.0 0.0 19.0 0.0 0.0 20.0 
341.00027466610055 0.0 0.0 19.0 0.0 0.0 20.0 
342.00022117414443 0.0 0.0 19.0 0.0 0.0 20.0 
343.0035283466831 0.0 0.0 20.0 0.0 0.0 22.0 
344.0027894936236 0.0 0.0 20.0 0.0 0.0 22.0 
345.00074280007266 0.0 0.0 20.0 0.0 0.0 22.0 
346.00073574271374 0.0 0.0 20.0 0.0 0.0 22.0 
347.00107317695716 0.0 0.0 20.0 0.0 0.0 22.0 
348.00057683743046 0.0 0.0 20.0 0.0 0.0 22.0 
349.0002435624336 0.0 0.0 20.0 0.0 0.0 22.0 
350.0025166625447 0.0 0.0 20.0 0.0 0.0 21.0 
351.00146587563677 0.013842738809248373 6.921369404624187 20.0 0.0 0.0 21.0 
352.0005976563881 0.013842738809248373 6.921369404624187 20.0 0.0 0.0 21.0 
353.0009004760119 0.0 0.0 20.0 0.0 0.0 21.0 
354.00045368546904 0.013842738809248373 6.921369404624187 20.0 0.0 0.0 21.0 
355.00016283124995 0.027195165569100867 13.597582784550497 20.0 0.0 0.0 21.0 
356.0030747039996 0.030325031333895608 13.597582784550497 20.0 0.0 0.0 21.0 
357.00040765663476 0.04314787417412142 21.5739370870607 20.0 0.0 0.0 21.0 
358.00112296295634 0.004211735439908997 2.105867719954489 19.0 0.0 0.0 21.0 
359.00357483756017 0.0556711350475318 14.324409064547268 18.0 0.0 0.0 21.0 
360.0025166625447 0.08699914683976058 21.14131024981495 18.0 0.012637506382082131 6.318753191041026 21.0 
361.0030747039996 0.016831713410828925 6.318753191041026 18.0 0.012637506382082131 6.318753191041026 20.0 
362.0023020128712 0.055883023201826705 11.106257308532093 18.0 0.0 0.0 19.0 
363.000161945562 0.08501319144577808 13.922033729998674 18.0 0.0 0.0 19.0 
364.00201740924587 0.0764571216140079 13.922033729998674 18.0 0.0 0.0 19.0 
365.00023189688 0.22483093515065944 20.667919364133695 18.0 0.0 0.0 19.0 
366.0030747039996 0.25101285670587353 20.799641527469987 18.0 0.0 0.0 20.0 
367.0018344225949 0.23243219122022318 20.799641527469987 19.0 0.0 0.0 19.0 
368.00482496566724 0.26036018725656984 20.799641527469987 18.0 0.0 0.0 19.0 
369.000231160794 0.24578464399758934 20.667919364133695 18.0 0.0 0.0 19.0 
370.0004939859296 0.3191549056270894 25.517991667869296 19.0 0.0 0.0 20.0 
371.0030747039996 0.3675604165959593 29.203365747636923 19.0 0.0 0.0 20.0 
372.0036405741793 0.2899181575628463 27.94924462772235 19.0 0.0 0.0 19.0 
373.00009658885324 0.2938878145547114 27.94924462772235 19.0 0.0 0.0 19.0 
374.001063960893 0.24424209693390783 30.80168081280692 18.0 0.0 0.0 19.0 
375.0001912555508 0.424285286972772 33.069919917234245 17.0 0.0 0.0 19.0 
376.0004929080564 0.8014947799313251 66.2364242452499 17.0 0.0 0.0 19.0 
377.00136573833197 0.8584235947306025 66.2364242452499 17.0 0.0 0.0 20.0 
378.00091027906143 0.7253570732579296 42.22679373223863 17.0 0.0 0.0 19.0 
379.0058367718564 0.7731819383544213 43.4288041972797 16.0 0.0 0.0 19.0 
380.0015078840796 0.9467136312868628 66.81191200183099 17.0 0.0 0.0 19.0 
381.00050940307074 0.8574008270824293 66.81191200183099 17.0 0.0 0.0 19.0 
382.0036405741793 0.7884387560894534 66.81191200183099 17.0 0.0 0.0 19.0 
383.0001972100141 0.8879757716793637 66.81191200183099 17.0 0.0 0.0 19.0 
384.00100168993606 0.7995457136949412 60.05174931781096 17.0 0.0 0.0 19.0 
385.0001262639964 0.9399924726814232 67.54555052534641 17.0 0.0 0.0 18.0 
386.0004645313036 1.1292040920885567 67.54555052534641 17.0 0.0 0.0 18.0 
387.0023841085045 1.0988553596076083 67.54555052534641 17.0 0.0 0.0 18.0 
388.004281604365 1.104598538387202 67.54555052534641 18.0 0.0 0.0 18.0 
389.0008971605042 1.0950911682757791 60.82218322033884 18.0 0.0 0.0 18.0 
390.0025166625447 1.3392338344306602 69.01722879859102 18.0 0.0 0.0 18.0 
391.00023586007444 1.3979188353644467 69.01722879859102 18.0 0.0 0.0 18.0 
392.0036405741793 1.3888678752853942 69.01722879859102 18.0 0.0 0.0 18.0 
393.0016785004597 1.3584080078028162 69.01722879859102 19.0 0.0 0.0 18.0 
394.00269913655757 1.2422584795503195 69.01722879859102 19.0 0.0 0.0 18.0 
395.00048926913547 1.489852929334829 83.06763148225258 19.0 0.0 0.0 18.0 
396.0008645560165 1.4673086763979393 83.06763148225258 19.0 0.0 0.0 20.0 
397.0026735183195 1.3655931707839049 83.06763148225258 19.0 0.0 0.0 20.0 
398.00090769538474 1.255748469643931 83.06763148225258 19.0 0.0 0.0 19.0 
399.00880295076126 1.180032925031689 65.34053198938022 18.0 0.0 0.0 19.0 
400.0017028399936 1.4176693033193806 72.85082216062733 19.0 0.0 0.0 18.0 
401.0019281468774 1.519812111021708 72.85082216062733 19.0 0.0 0.0 18.0 
402.0032200535821 1.5218182402041813 72.85082216062733 19.0 0.0 0.0 18.0 
403.0041418742809 1.4458833453936173 72.85082216062733 19.0 0.0 0.0 19.0 
404.0010940615272 1.6405681471521614 70.12084300037617 19.0 0.0 0.0 19.0 
405.00078400425986 1.6763482842190494 77.59309432803502 19.0 0.0 0.0 19.0 
406.003025515234 1.6258754309248724 77.59309432803502 19.0 0.0 0.0 19.0 
407.00041125853323 1.6878133501686305 77.59309432803502 20.0 0.0 0.0 19.0 
408.00067658312196 1.7736014102867874 77.59309432803502 20.0 0.0 0.0 19.0 
409.00159522080077 2.052357886207353 75.1668190803727 19.0 0.0 0.0 19.0 
410.000423910137 2.076932721553599 82.63783567929858 19.0 0.0 0.0 19.0 
411.0009991891102 2.0640569158308 107.83731831727766 19.0 0.0 0.0 19.0 
412.00109445506314 2.1342129099878013 100.17395396466952 18.0 0.0 0.0 19.0 
413.002773068492 2.1838358123761674 103.32677705576197 18.0 0.0 0.0 20.0 
414.00221146102473 2.3223436806278035 103.32677705576197 18.0 0.0 0.0 20.0 
415.00150363149294 2.4195018557050005 103.32677705576197 18.0 0.0 0.0 20.0 
416.00022964608615 2.4321979291765228 103.32677705576197 18.0 0.0 0.0 20.0 
417.00052663862294 2.378256123909915 95.71498486039735 18.0 0.0 0.0 20.0 
418.00016379367673 2.4921856556029223 101.08687714578048 18.0 0.0 0.0 20.0 
419.00374996564244 2.619337453039264 101.08687714578048 18.0 0.0 0.0 20.0 
420.001216314233 2.723184628537673 101.08687714578048 18.0 0.0 0.0 20.0 
421.00055985616814 2.7084368071565175 101.08687714578048 18.0 0.0 0.0 21.0 
422.00306639548535 2.357283964948561 97.91739358214562 18.0 0.0 0.0 21.0 
423.00380278072083 2.6525260109040723 100.91925466772636 19.0 0.0 0.0 22.0 
424.00127112891533 2.7832790100874183 105.36181993988976 19.0 0.0 0.0 22.0 
425.00046769773235 2.383072627233583 105.36181993988976 19.0 0.0 0.0 21.0 
426.00044997722665 2.0824739003003723 102.48419745979822 19.0 0.0 0.0 20.0 
427.00022741896026 1.8734763491580912 100.7112658817341 19.0 0.0 0.0 20.0 
428.00011646471546 1.9382457416907888 101.24532410244706 19.0 0.0 0.0 20.0 
429.0013820058114 1.8038770880402437 101.24532410244706 19.0 0.0 0.0 20.0 
430.0012509900142 1.8479757828449086 108.68195984415439 19.0 0.0 0.0 19.0 
431.00029170334506 1.7396791755823466 108.68195984415439 18.0 0.0 0.0 19.0 
432.0007149095912 1.4899347926047037 116.13857747189581 18.0 0.0 0.0 18.0 
433.0010388757364 1.823599666088522 116.13857747189581 18.0 0.0 0.0 17.0 
434.00055852268537 1.4143531684517148 100.64040931416304 18.0 0.0 0.0 17.0 
435.0025166625447 1.372305997130251 100.64040931416304 18.0 0.0 0.0 17.0 
436.00046629445796 1.2702492785750876 100.64040931416304 18.0 0.0 0.0 17.0 
437.0031105291197 1.4304908683364805 93.06937235581267 18.0 0.0 0.0 16.0 
438.00350738256685 1.439988288737637 100.48278404738409 17.0 0.0 0.0 17.0 
439.00228394464773 1.437721941993505 100.48278404738409 18.0 0.0 0.0 17.0 
440.00052930224007 1.5937243464111173 100.48278404738409 17.0 0.0 0.0 16.0 
441.00100965748675 1.3925804761841516 100.48278404738409 16.0 0.0 0.0 16.0 
442.0022152468268 1.4343062881379454 93.97452094632882 17.0 0.0 0.0 16.0 
443.00138076964555 1.392639852202455 99.53881858317175 16.0 0.0 0.0 16.0 
