#####################################################################
# Alchemist log file - simulation started at: 2019-02-22T06:52+0000 #
#####################################################################
# seed = 132.0
#
# The columns have the following meaning: 
# time distance-rep[Mean] leader-rep[CountDistinct] distance-share[Mean] leader-share[CountDistinct] 
226.00600397146638 26.78262993853434 14.0 5.1741496794678765 26.0 
227.00342224935002 26.400254091149193 14.0 5.230972814595521 26.0 
228.00010366628305 26.495399470457222 14.0 4.952880370634331 26.0 
229.00378772454778 27.278690128788366 14.0 4.4143759323711365 26.0 
230.00304485174433 27.669335453458487 14.0 4.377199619943112 26.0 
231.00034681743384 29.05489599593802 14.0 3.0011873021073 26.0 
232.00364763566915 28.94008142614237 13.0 2.9045965663370445 26.0 
233.0009369265225 28.994289080328677 13.0 1.8494849435045504 26.0 
234.0006681397626 29.596682893226685 13.0 1.8647098150242856 26.0 
235.00401958632222 29.874545967482472 13.0 1.8594535536397112 26.0 
236.00223179769958 30.23383000033042 12.0 1.647223205391756 26.0 
237.00053705610404 30.481020375015866 12.0 1.2641483851503788 27.0 
238.0065533351151 30.644146240497736 12.0 1.0661088612325011 31.0 
239.0009473037316 31.94204406742118 12.0 2.0406600387520637 33.0 
240.0002920274586 32.43020361725349 12.0 3.4183270979718423 29.0 
241.00064806057745 32.62420716025061 13.0 3.4668793658653794 30.0 
242.00135386810155 32.63630960515761 13.0 3.7169494058849173 32.0 
243.00166551336196 32.03087140138013 13.0 3.294340561676242 33.0 
244.00071713506995 31.81876918491573 13.0 3.6506092877730247 33.0 
245.000439639529 32.51074361071581 13.0 3.5062983545422917 33.0 
246.00231417714483 32.485804679909336 13.0 3.4008013980721286 37.0 
247.0001159252643 32.708974776540174 12.0 3.020200027696675 48.0 
248.0007523786272 32.664750377867904 12.0 4.0862563387156845 35.0 
249.0020417439215 32.76117867586039 12.0 6.410031473015552 35.0 
250.00160047742258 33.61126013814515 11.0 7.865006509592714 33.0 
251.00422551463237 33.7910506915761 11.0 5.90860304687554 44.0 
252.00722715675386 34.1276930870695 12.0 7.498196733982391 42.0 
253.0017352248657 33.68768128839421 13.0 9.806745513761813 34.0 
254.00681370433247 34.82636201293398 13.0 9.650134847498764 36.0 
255.00068091146989 35.48194059711481 13.0 9.842663871221312 34.0 
256.00418429953646 35.17493899116971 13.0 10.535963942727353 33.0 
257.002904734957 35.049215276264405 13.0 9.132412111180447 34.0 
258.00136461164306 35.40390379690333 13.0 9.01567706174669 33.0 
259.000788844639 35.272153463137016 13.0 9.846104187744375 33.0 
260.00347380072446 35.459968856413234 13.0 9.479958158945626 33.0 
261.0049656791224 36.23493471281169 13.0 10.02199041337045 34.0 
262.0014139569787 36.55967202168854 13.0 9.9673735121317 32.0 
263.001352844189 35.710337321789176 13.0 8.993278360392585 31.0 
264.0057156141138 36.655754542177 12.0 8.596004450094584 31.0 
265.0013662216129 37.39426274588673 12.0 8.350234028021955 34.0 
266.0001192028676 38.463856731169365 12.0 10.78843525682718 32.0 
267.00087547625725 39.969857817974244 12.0 11.602999482341229 30.0 
268.0021174799159 39.722180239610026 12.0 11.213030775812769 31.0 
269.0002496207707 40.240756113063014 12.0 9.66304226855237 43.0 
270.00042466655617 42.140447677891295 11.0 11.234697487202796 36.0 
271.003982692698 42.57165865080817 11.0 13.90343508343307 34.0 
272.00325240290334 41.57594185657074 12.0 13.863304580179955 33.0 
273.000648479331 41.09696860659177 15.0 12.780997096223526 32.0 
274.0009029413311 37.82304370695979 19.0 12.648598153431927 31.0 
275.00347903562835 34.892515748690606 18.0 13.468930198389804 30.0 
276.0022331814566 33.615955778758604 18.0 13.11288448998313 29.0 
277.0021914331482 33.17668181067453 16.0 12.692787549288113 29.0 
278.0029845566561 30.047316571629924 16.0 13.00303250059066 29.0 
279.00081393822614 29.402117726591328 16.0 13.798001235288872 29.0 
280.00005146209264 29.41214398101066 16.0 13.239182138533424 29.0 
281.0039865396571 29.558057563035952 14.0 12.521275225562714 29.0 
282.00346377475097 29.57423150369661 14.0 11.178742818346587 28.0 
283.0021798533795 28.880557743883166 14.0 10.54409491108766 27.0 
284.0029807532649 27.46175218844504 14.0 9.674962903948403 29.0 
285.00309601755794 27.736941277515527 14.0 9.198968614645077 29.0 
286.00136729345695 28.38113164476285 14.0 9.007348583709106 29.0 
287.0012319937134 27.83911478120944 14.0 8.750638141865585 28.0 
288.00097514297136 27.462850827261107 14.0 7.740720124141749 28.0 
289.00101891238586 27.39103919664697 14.0 7.880364668737554 28.0 
290.0039182886455 27.218992219616375 14.0 8.60984070115447 26.0 
291.0003178590036 27.73154650400563 14.0 8.558942880072019 26.0 
292.0009144029045 27.455470342035902 15.0 9.265526859504076 27.0 
293.00095228995156 26.487149123830864 15.0 8.399442352746158 27.0 
294.0057028861463 26.179058635080768 15.0 7.548717517478127 36.0 
295.0050360842104 25.395767355064276 15.0 8.230791654575867 31.0 
296.00067038429285 24.993855896736918 14.0 8.271499530984418 32.0 
297.0009634052797 25.577150943741977 14.0 7.9946122806142075 34.0 
298.00070736044444 25.78658803846125 14.0 8.024437045742069 32.0 
299.0015108943356 25.74810341394434 14.0 7.538503282558666 32.0 
300.0006185788293 26.688306718880213 14.0 7.528888381190698 32.0 
301.0039987697309 27.461870909089733 15.0 8.651903743218508 31.0 
302.00401836523514 28.116902573774347 15.0 7.378871141354281 30.0 
303.00162778003016 27.5534430573738 16.0 7.403719274272324 31.0 
304.0013216183854 27.255399331554475 16.0 7.9491049084480245 32.0 
305.00081255669494 26.992095002456193 15.0 5.76428251627592 32.0 
306.003970593016 26.13591654201599 15.0 5.168813195531514 31.0 
307.00066452071195 26.179721122891706 15.0 4.993297555269055 31.0 
308.00261759512847 28.16641304802446 15.0 4.7403689517415915 30.0 
309.00162148694926 28.797846527719464 18.0 4.325338707529639 31.0 
310.00154982451664 29.267781217947967 18.0 4.46024220177658 30.0 
311.0008568306246 32.165400305606575 16.0 4.623813717479582 30.0 
312.00565924993157 34.26859558332157 15.0 4.294528886884571 30.0 
313.0008893525399 36.95230243350496 15.0 4.817272375043207 30.0 
314.0010722604758 38.908567585874906 15.0 3.5493525700231676 30.0 
315.0003005625167 41.672570363980114 14.0 3.3396584671548624 31.0 
316.00056917216796 43.76412715663814 13.0 2.600671959878749 30.0 
317.000253816104 45.38386062992429 13.0 1.8455670616182824 28.0 
318.0012939072113 45.87703300366511 13.0 2.0451779427816614 28.0 
319.00588642433 46.82907008140315 13.0 2.0346629983105693 27.0 
320.006331765947 48.12158353215996 13.0 1.8074646934045986 27.0 
321.00025313529903 50.465478648854365 13.0 1.738105065400863 27.0 
322.00461320394294 51.57817071921988 13.0 1.656288610275947 26.0 
323.00254764428496 52.68481763212694 13.0 1.6735634695982753 26.0 
324.001086035989 52.95541396671467 13.0 1.7094227743130832 26.0 
325.00045568957006 55.876247136754344 13.0 1.8835528541542244 26.0 
326.00489807666605 58.50302899244764 12.0 1.2895715284426454 27.0 
327.0015777692627 59.65837778482109 12.0 1.2910571698411224 27.0 
328.00761854222804 60.226332447843795 12.0 2.2216439088679127 27.0 
329.0009897348568 60.58281429550852 11.0 2.273347109978646 27.0 
330.00050008504667 62.86782128502997 11.0 2.252474107243375 27.0 
331.000686516772 65.8471544968659 12.0 2.1726563169167274 27.0 
332.0010462935391 65.4874564213023 11.0 1.9831388196894124 27.0 
333.00041980231447 64.20391864385522 11.0 2.0770539650396875 27.0 
334.0029009417871 63.551544531800076 11.0 1.2638854538268365 26.0 
335.00069774670726 62.76882098337682 11.0 0.6970885901937701 27.0 
336.00151417253744 60.97746959211129 11.0 0.7219231425613291 27.0 
337.00312036073973 56.77015436299818 11.0 0.7370309229742887 27.0 
338.0040675953734 56.20159034706046 18.0 0.5490426745121517 26.0 
339.00164835769715 50.740747457399884 19.0 0.5626116337537628 25.0 
340.0014702025173 48.454434200946544 18.0 0.35759420113375484 25.0 
341.00182604152815 48.49774133997622 16.0 0.09704086486752657 25.0 
342.00311657939034 46.85689926721084 17.0 0.09704086486752657 25.0 
343.0025007280523 42.42312671422182 21.0 0.11179330607574833 25.0 
344.0090872529139 42.81375313972533 23.0 0.11179330607574833 25.0 
345.00081189674466 49.662317442643825 21.0 0.11688751936385404 24.0 
346.0030059221468 52.799206713085255 22.0 0.06133255668125928 24.0 
347.0007561121779 54.13002871690895 21.0 0.06133255668125928 24.0 
348.0004384982467 56.513761282246655 23.0 0.0638221013536357 24.0 
349.00324364301787 53.47380777223435 37.0 0.0638221013536357 23.0 
350.00041117591957 52.22591643877675 27.0 0.13295404835114594 23.0 
351.00071190642893 46.674519377317765 24.0 0.19058160219154022 23.0 
352.00107636752074 47.06549115769363 23.0 0.3213357668322742 23.0 
353.0009575190442 49.871677099144925 21.0 0.3168487044001317 23.0 
354.0006866003994 52.96195683922702 21.0 0.27001677810358304 24.0 
355.0001560317706 55.40829807774071 21.0 0.15806582124322596 24.0 
356.0020134207791 57.966226991413684 22.0 0.2310378489244223 26.0 
357.00021849926213 58.256299007638624 21.0 0.29733620155107043 26.0 
358.00119651287235 59.11558932963619 20.0 0.35973437982560696 26.0 
359.0012606185253 59.17476100760774 20.0 0.39552292565176067 26.0 
360.0001919461892 61.53092517555313 20.0 0.34177148226403137 26.0 
361.000061881848 64.551190437383 20.0 0.536996913743248 27.0 
362.0001205295866 65.40534283994812 20.0 0.4870811303944232 27.0 
363.0002259061892 67.03581782952523 20.0 0.5297832251293764 27.0 
364.0001223109913 67.89518623821473 20.0 0.6532527837219214 27.0 
365.00033086333826 72.62478236285337 19.0 0.8323515449998622 27.0 
366.00019720637255 77.49147055070789 20.0 0.7817490160777453 27.0 
367.0004295034411 78.3290900051381 21.0 1.299860580378929 30.0 
368.0008761052539 81.77860273051307 20.0 0.9076896233239785 29.0 
369.0000562962025 85.0937123529292 20.0 1.8069095891842568 30.0 
370.00176930887943 85.95866558874695 19.0 1.3622882211386027 30.0 
371.00008847500084 89.53988528167804 19.0 0.9617471225990851 30.0 
372.0006749140124 88.6472712399973 27.0 1.0989110807290718 28.0 
373.0000342916544 78.17298597999311 43.0 1.3121195437047326 28.0 
374.0003978905727 68.75355052502499 28.0 1.11502227949757 27.0 
375.00223034155965 59.188271936905736 24.0 0.9140893634910114 27.0 
376.00069805373454 52.2548725068799 22.0 0.9654475324016139 26.0 
377.00113455482676 48.58088613859962 20.0 1.4101325886881209 25.0 
378.00108891647625 48.933084944727774 20.0 1.534639193916625 25.0 
379.0038696326316 47.78226589260525 20.0 1.8272099884349258 24.0 
380.00011774828005 47.227140335512026 20.0 1.5275165219898998 25.0 
381.00081645346535 47.93760464802673 20.0 1.7536394798761485 24.0 
382.00063091264485 48.64764611710248 20.0 1.5006961921999313 24.0 
383.0001235439605 48.97340911954437 20.0 1.2245542280797044 25.0 
384.0000412902194 48.51952036342014 20.0 0.978214499192192 25.0 
385.0016418099175 48.73281233505725 19.0 1.1956000736243957 24.0 
386.0009333321208 48.40712114682829 19.0 1.2027802543261636 24.0 
387.0044838293686 48.89120987843069 19.0 1.2365791682542722 24.0 
388.002741188946 49.63726677130483 19.0 1.3139300310036972 25.0 
389.0015407301275 50.48244961190772 18.0 1.2452695099396465 24.0 
390.00657717979743 49.961260141467676 18.0 1.5398045627139623 24.0 
391.00007656618396 51.490651911674355 18.0 1.9041297841491358 25.0 
392.0003375795176 53.94400562785046 17.0 2.1698799870794545 27.0 
393.00132229897093 54.36296021276151 17.0 2.147885151646299 26.0 
394.0024680175413 54.72948797694651 18.0 1.9697969680549414 27.0 
395.0010466342959 56.30541689047043 18.0 1.97126029807665 26.0 
396.00106684961384 56.85730023291628 16.0 2.387126432845816 26.0 
397.01319915135207 54.773523313068466 16.0 2.203321376703327 26.0 
398.0004044892439 55.71982824422536 15.0 2.2538767931823305 26.0 
399.0084035063352 57.051793257591925 15.0 2.0503829921840553 26.0 
400.0002560881301 58.89386034716083 14.0 2.0449573400734278 26.0 
401.0043219074887 60.72716437174233 13.0 2.2269832732777504 26.0 
402.001135633367 61.35664523440586 14.0 2.2546200419623648 27.0 
403.00138269200903 62.82413451179707 14.0 2.3265764979034507 27.0 
404.0090872529139 62.57451072284959 15.0 2.323792386084344 27.0 
405.0023698358182 61.66852210575772 15.0 2.40319612986186 27.0 
406.0048775409274 61.61095715795418 16.0 2.5488917800858313 27.0 
407.0018788848586 57.719607080424 16.0 2.8945311894944075 28.0 
408.00211991879786 53.1577263656725 17.0 2.6418287802507643 27.0 
409.0009292490405 49.94788232487013 19.0 2.648419049424227 27.0 
410.0003289988468 44.2845409189906 19.0 2.099971137235303 27.0 
411.00556061723165 40.07002965447246 18.0 2.2086509681837536 27.0 
412.0015959397981 40.842639734844084 17.0 1.7792385531255805 27.0 
413.0050800130104 40.73090433861147 17.0 1.4120182957433183 27.0 
414.00097828175655 46.48651552366696 16.0 1.5662577675826168 27.0 
415.0010967830621 47.41169140911784 17.0 1.5538952550729106 27.0 
416.0006989485038 46.93182037885702 17.0 1.544917431955469 27.0 
